Country of Origin,Country Name,Year,Quantity (KG),Value (US),Country,Continent
Brasil,Bélgica,2010,42532,185411,Belgium,Europe
Brasil,Bélgica,2011,11802,62339,Belgium,Europe
Brasil,Bélgica,2012,16132,90718,Belgium,Europe
Brasil,Bélgica,2013,22461,95893,Belgium,Europe
Brasil,Bélgica,2014,151320,704093,Belgium,Europe
Brasil,Bélgica,2015,4473,26399,Belgium,Europe
Brasil,Bélgica,2016,7200,46534,Belgium,Europe
Brasil,Bélgica,2017,2790,16405,Belgium,Europe
Brasil,Bélgica,2018,7497,52799,Belgium,Europe
Brasil,Bélgica,2019,2498,12548,Belgium,Europe
Brasil,Bélgica,2020,3166,20460,Belgium,Europe
Brasil,Bélgica,2021,483,3749,Belgium,Europe
Brasil,Belice,2007,0,0,Belize,North America
Brasil,Belice,2008,0,0,Belize,North America
Brasil,Belice,2009,0,0,Belize,North America
Brasil,Belice,2010,0,0,Belize,North America
Brasil,Belice,2011,0,0,Belize,North America
Brasil,Belice,2012,0,0,Belize,North America
Brasil,Belice,2013,0,0,Belize,North America
Brasil,Belice,2014,0,0,Belize,North America
Brasil,Belice,2015,0,0,Belize,North America
Brasil,Belice,2016,0,0,Belize,North America
Brasil,Belice,2017,0,0,Belize,North America
Brasil,Belice,2018,0,0,Belize,North America
Brasil,Belice,2019,9,29,Belize,North America
Brasil,Belice,2020,0,0,Belize,North America
Brasil,Belice,2021,0,0,Belize,North America
Brasil,Benin,2007,0,0,Benin,Africa
Brasil,Benin,2008,10350,17423,Benin,Africa
Brasil,Benin,2009,0,0,Benin,Africa
Brasil,Benin,2010,0,0,Benin,Africa
Brasil,Benin,2011,0,0,Benin,Africa
Brasil,Benin,2012,0,0,Benin,Africa
Brasil,Benin,2013,0,0,Benin,Africa
Brasil,Benin,2014,0,0,Benin,Africa
Brasil,Benin,2015,0,0,Benin,Africa
Brasil,Benin,2016,5040,20333,Benin,Africa
Brasil,Benin,2017,0,0,Benin,Africa
Brasil,Benin,2018,0,0,Benin,Africa
Brasil,Benin,2019,9,9,Benin,Africa
Brasil,Benin,2020,0,0,Benin,Africa
Brasil,Benin,2021,0,0,Benin,Africa
Brasil,Bolívia,2007,4985,3550,Bolivia,South America
Brasil,Bolívia,2008,3979,3990,Bolivia,South America
Brasil,Bolívia,2009,40463,20729,Bolivia,South America
Brasil,Bolívia,2010,54,282,Bolivia,South America
Brasil,Bolívia,2011,12775,20215,Bolivia,South America
Brasil,Bolívia,2012,11868,16804,Bolivia,South America
Brasil,Bolívia,2013,19147,25998,Bolivia,South America
Brasil,Bolívia,2014,12534,18303,Bolivia,South America
Brasil,Bolívia,2015,10674,12990,Bolivia,South America
Brasil,Bolívia,2016,13586,16902,Bolivia,South America
Brasil,Bolívia,2017,9495,23085,Bolivia,South America
Brasil,Bolívia,2018,21566,57424,Bolivia,South America
Brasil,Bolívia,2019,0,0,Bolivia,South America
Brasil,Bolívia,2020,9900,16025,Bolivia,South America
Brasil,Bolívia,2021,5850,8360,Bolivia,South America
Brasil,Bósnia-Herzegovina,2007,0,0,Bosnia and Herzegovina,Europe
Brasil,Bósnia-Herzegovina,2008,0,0,Bosnia and Herzegovina,Europe
Brasil,Bósnia-Herzegovina,2009,0,0,Bosnia and Herzegovina,Europe
Brasil,Bósnia-Herzegovina,2010,0,0,Bosnia and Herzegovina,Europe
Brasil,Bósnia-Herzegovina,2011,0,0,Bosnia and Herzegovina,Europe
Brasil,Bósnia-Herzegovina,2012,0,0,Bosnia and Herzegovina,Europe
Brasil,Bósnia-Herzegovina,2013,0,0,Bosnia and Herzegovina,Europe
Brasil,Bósnia-Herzegovina,2014,0,0,Bosnia and Herzegovina,Europe
Brasil,Bósnia-Herzegovina,2015,0,0,Bosnia and Herzegovina,Europe
Brasil,Bósnia-Herzegovina,2016,0,0,Bosnia and Herzegovina,Europe
Brasil,Bósnia-Herzegovina,2017,0,0,Bosnia and Herzegovina,Europe
Brasil,Bósnia-Herzegovina,2018,0,0,Bosnia and Herzegovina,Europe
Brasil,Bósnia-Herzegovina,2019,0,0,Bosnia and Herzegovina,Europe
Brasil,Bósnia-Herzegovina,2020,45,52,Bosnia and Herzegovina,Europe
Brasil,Bósnia-Herzegovina,2021,0,0,Bosnia and Herzegovina,Europe
Brasil,Brasil,2007,0,0,Brazil,South America
Brasil,Brasil,2008,0,0,Brazil,South America
Brasil,Brasil,2009,0,0,Brazil,South America
Brasil,Brasil,2010,0,0,Brazil,South America
Brasil,Brasil,2011,0,0,Brazil,South America
Brasil,Brasil,2012,0,0,Brazil,South America
Brasil,Brasil,2013,0,0,Brazil,South America
Brasil,Brasil,2014,0,0,Brazil,South America
Brasil,Brasil,2015,0,0,Brazil,South America
Brasil,Brasil,2016,0,0,Brazil,South America
Brasil,Brasil,2017,0,0,Brazil,South America
Brasil,Brasil,2018,0,0,Brazil,South America
Brasil,Brasil,2019,0,0,Brazil,South America
Brasil,Brasil,2020,0,0,Brazil,South America
Brasil,Brasil,2021,31,46,Brazil,South America
Brasil,Bulgária,2007,0,0,Bulgaria,Europe
Brasil,Bulgária,2008,0,0,Bulgaria,Europe
Brasil,Bulgária,2009,0,0,Bulgaria,Europe
Brasil,Bulgária,2010,0,0,Bulgaria,Europe
Brasil,Bulgária,2011,0,0,Bulgaria,Europe
Brasil,Bulgária,2012,0,0,Bulgaria,Europe
Brasil,Bulgária,2013,0,0,Bulgaria,Europe
Brasil,Bulgária,2014,0,0,Bulgaria,Europe
Brasil,Bulgária,2015,0,0,Bulgaria,Europe
Brasil,Bulgária,2016,0,0,Bulgaria,Europe
Brasil,Bulgária,2017,117,1579,Bulgaria,Europe
Brasil,Bulgária,2018,0,0,Bulgaria,Europe
Brasil,Bulgária,2019,0,0,Bulgaria,Europe
Brasil,Bulgária,2020,0,0,Bulgaria,Europe
Brasil,Bulgária,2021,0,0,Bulgaria,Europe
Brasil,Cabo Verde,2007,0,0,Cape Verde,Africa
Brasil,Cabo Verde,2008,0,0,Cape Verde,Africa
Brasil,Cabo Verde,2009,0,0,Cape Verde,Africa
Brasil,Cabo Verde,2010,11991,49366,Cape Verde,Africa
Brasil,Cabo Verde,2011,600,825,Cape Verde,Africa
Brasil,Cabo Verde,2012,0,0,Cape Verde,Africa
Brasil,Cabo Verde,2013,0,0,Cape Verde,Africa
Brasil,Cabo Verde,2014,0,0,Cape Verde,Africa
Brasil,Cabo Verde,2015,0,0,Cape Verde,Africa
Brasil,Cabo Verde,2016,0,0,Cape Verde,Africa
Brasil,Cabo Verde,2017,0,0,Cape Verde,Africa
Brasil,Cabo Verde,2018,18,48,Cape Verde,Africa
Brasil,Cabo Verde,2019,0,0,Cape Verde,Africa
Brasil,Cabo Verde,2020,0,0,Cape Verde,Africa
Brasil,Cabo Verde,2021,16,124,Cape Verde,Africa
Brasil,Camarões,2007,0,0,Cameroon,Africa
Brasil,Camarões,2008,0,0,Cameroon,Africa
Brasil,Camarões,2009,0,0,Cameroon,Africa
Brasil,Camarões,2010,0,0,Cameroon,Africa
Brasil,Camarões,2011,0,0,Cameroon,Africa
Brasil,Camarões,2012,0,0,Cameroon,Africa
Brasil,Camarões,2013,0,0,Cameroon,Africa
Brasil,Camarões,2014,0,0,Cameroon,Africa
Brasil,Camarões,2015,0,0,Cameroon,Africa
Brasil,Camarões,2016,0,0,Cameroon,Africa
Brasil,Camarões,2017,1749,7476,Cameroon,Africa
Brasil,Camarões,2018,0,0,Cameroon,Africa
Brasil,Camarões,2019,0,0,Cameroon,Africa
